dni,ghi,period_end,period
0,0,2024-01-01T00:15:00+00:00,PT15M
0,0,2024-01-01T00:30:00+00:00,PT15M
0,0,2024-01-01T00:45:00+00:00,PT15M
0,0,2024-01-01T01:00:00+00:00,PT15M
0,0,2024-01-01T01:15:00+00:00,PT15M
0,0,2024-01-01T01:30:00+00:00,PT15M
0,0,2024-01-01T01:45:00+00:00,PT15M
0,0,2024-01-01T02:00:00+00:00,PT15M
0,0,2024-01-01T02:15:00+00:00,PT15M
0,0,2024-01-01T02:30:00+00:00,PT15M
0,0,2024-01-01T02:45:00+00:00,PT15M
0,0,2024-01-01T03:00:00+00:00,PT15M
0,0,2024-01-01T03:15:00+00:00,PT15M
0,0,2024-01-01T03:30:00+00:00,PT15M
0,0,2024-01-01T03:45:00+00:00,PT15M
0,0,2024-01-01T04:00:00+00:00,PT15M
0,0,2024-01-01T04:15:00+00:00,PT15M
0,0,2024-01-01T04:30:00+00:00,PT15M
0,0,2024-01-01T04:45:00+00:00,PT15M
0,0,2024-01-01T05:00:00+00:00,PT15M
0,0,2024-01-01T05:15:00+00:00,PT15M
0,0,2024-01-01T05:30:00+00:00,PT15M
0,0,2024-01-01T05:45:00+00:00,PT15M
0,0,2024-01-01T06:00:00+00:00,PT15M
0,0,2024-01-01T06:15:00+00:00,PT15M
0,0,2024-01-01T06:30:00+00:00,PT15M
0,0,2024-01-01T06:45:00+00:00,PT15M
0,3,2024-01-01T07:00:00+00:00,PT15M
0,15,2024-01-01T07:15:00+00:00,PT15M
0,38,2024-01-01T07:30:00+00:00,PT15M
0,41,2024-01-01T07:45:00+00:00,PT15M
0,59,2024-01-01T08:00:00+00:00,PT15M
0,69,2024-01-01T08:15:00+00:00,PT15M
0,97,2024-01-01T08:30:00+00:00,PT15M
123,153,2024-01-01T08:45:00+00:00,PT15M
59,179,2024-01-01T09:00:00+00:00,PT15M
194,219,2024-01-01T09:15:00+00:00,PT15M
59,201,2024-01-01T09:30:00+00:00,PT15M
0,189,2024-01-01T09:45:00+00:00,PT15M
48,237,2024-01-01T10:00:00+00:00,PT15M
180,275,2024-01-01T10:15:00+00:00,PT15M
83,264,2024-01-01T10:30:00+00:00,PT15M
